judul,isi,kategori
"Jalan berlubang berbahaya","Jalan utama berlubang dan sangat berbahaya bagi pengendara","Asli"
"Banjir terjadi setiap hujan","Banjir sering terjadi setiap hujan deras dan tidak ada solusi dari pemerintah","Asli"
"Jalan utama berlubang","Aspal jalan utama banyak yang berlubang dan sangat berbahaya bagi pengendara","Asli"
"Jalan gelap tanpa penerangan","Lampu penerangan jalan utama banyak yang mati sangat berbahaya bagi pengendara","Asli"
"Fasilitas umum rusak","Fasilitas umum banyak yang rusak di alun-alun kota","Asli"
"Jembatan utama rusak","Jembatan utama banyak yang sudah rusak sangat berbahaya bagi pengendara","Asli"
"Kekurangan tenaga pengajar","Di sekolah kami kekurangan tenaga pengajar, sehingga pembelajaran terganggu","Asli"
"Penyelewengan dana KIP","Terdapat penyelewengan dana KIP di sekolah anak saya","Asli"
"Pelayanan puskesmas lama","Pelayanan di puskesmas sangat lama dan pasien harus menunggu berjam-jam","Asli"
"Sampah tidak diangkut","Sampah tidak diangkut selama seminggu, menyebabkan bau tak sedap","Asli"
"Administrasi kelurahan lambat","Pelayanan administrasi di kelurahan sangat lambat dan kurang responsif","Asli"
"Air PDAM mati","Air PDAM tidak mengalir selama tiga hari dan masyarakat kesulitan mendapatkan air bersih","Asli"
"Kendaraan parkir sembarangan","Di daerah kami banyak kendaraan parkir sembarangan hingga menyebabkan kemacetan","Asli"
"Situs dinas tidak bisa diakses","Situs resmi dinas tidak bisa diakses selama beberapa hari, menghambat pelayanan publik","Asli"
"Pengemis meresahkan","Banyak pengemis yang meresahkan warga di jalan raya utama kota","Asli"
"Jalan Rusak","Jalan utama berlubang dan sangat berbahaya bagi pengendara","Asli"
"Banjir","Banjir sering terjadi setiap hujan deras dan tidak ada solusi dari pemerintah","Asli"
"Jalanan Berlubang","Aspal jalan utama banyak yang berlubang dan sangat berbahaya bagi pengendara","Asli"
"Fasilitas Jalan Raya Rusak","Lampu penerangan jalan utama banyak yang mati sangat berbahaya bagi pengendara","Asli"
"Fasilitas Umum","Fasilitas umum banyak yang rusak dialun-alun kota","Asli"
"Fasilitas Umum","Fasilitas umum banyak yang rusak dialun-alun kabupaten","Asli"
"Perampingan Pohon","Pohon-pohon dijalan utama banyak yang sudah lebat sangat berbahaya bagi pengendara","Asli"
"Pemotongan Pohon","Pohon-pohon dijalan utama banyak yang sudah lebat sangat berbahaya bagi pengendara mohon di tebang atau dirapikan","Asli"
"Jembatan Rusak","Jembatan utama banyak yang sudah rusak sangat berbahaya bagi pengendara","Asli"
"Pendidikan","Di sekolah kami kekurangan tenaga pengajar, sehingga pembelajaran terganggu","Asli"
"Pendidikan","Di sekolah kami kekurangan guru, sehingga pembelajaran terganggu","Asli"
"Pungli/Korupsi","Terdapat penyelewengan dana kip disekolah anak saya","Asli"
"Pungli","Terdapat penyelewengan dana kip disekolah anak kami","Asli"
"Korupsi","Terdapat penyelewengan dana kip disekolah saya","Asli"
"Korupsi Disekolah","Terdapat penyelewengan dana kip disekolah kami","Asli"
"Pelayanan Kesehatan","Pelayanan di puskesmas sangat lama dan pasien harus menunggu berjam-jam","Asli"
"Pelayanan Di RS/Rumah Sakit","Pelayanan di rumah sakit pemerintah sangat lama dan pasien harus menunggu berjam-jam","Asli"
"Pelayanan BPJS","Pelayanan di bpjs sangat tidak manusiawi","Asli"
"Pelayanan Pembuatan Berkas","Pelayanan administrasi di rumah sakit pemerintah sangat ruwet","Asli"
"Pelayanan","Dokter-dokter dirumah sakit pemerintah tidak memberikan pelayanann yang baik","Asli"
"Pelayanan Kesehatan","Pelayanan bpjs di rumah sakit pemerintah sangat lama dan pasien harus menunggu berjam-jam","Asli"
"Aturan Birokrasi","Permudah birokrasi bpjs di rumah sakit pemerintah","Asli"
"Pelayanan Kesehatan","Pelayanan rumah sakit sangat buruk, stafnya tidak ramah dan lamban","Asli"
"Pelayanan Rumah Sakit","Lengkapi alat alat pemeriksaan dirumah sakit milik pemerintah","Asli"
"Pelayanan","Pegawai-pegawai dirumah sakit milik pemerintah sangat tidak ramah sekali","Asli"
"Sampah Menumpuk","Sampah tidak diangkut selama seminggu, menyebabkan bau tak sedap","Asli"
"Sampah","Sampah tidak diangkut selama seminggu, menyebabkan bau dan pennyakit","Asli"
"Sampah Menumpuk","Sampah menumpuk tidak diangkut selama seminggu, menyebabkan bau tak sedap dan penyakit pada warga","Asli"
"Pelayanan di Kelurahan","Pelayanan administrasi di kelurahan sangat lambat dan kurang responsif","Asli"
"Pelayanan di Kecamatan","Pelayanan administrasi di kecamatan sangat lambat dan kurang responsif","Asli"
"Pelayanan","Pegawai administrasi di kelurahan sangat lambat dan tidak ramah kepada masyarakat","Asli"
"Pelayanan","Pegawai administrasi di kecamatan sangat lambat dan tidak ramah kepada masyarakat","Asli"
"Pelayanan","Pengurusan berkas-berkas di kelurahan sangat lambat dan ribet","Asli"
"Pelayanan","Pengurusan berkas-berkas di kecamatan sangat lambat dan ribet","Asli"
"Pungli dan korupsi","Banyak pungli di beberapa dinas dan lembaga di pemerintahan kabupaten","Asli"
"Pungli","Saya ingin melaporkan adanya pungli di kecamatan untuk mengurus berkas-berkas kependudukan mohon ditindak lanjuti","Asli"
"Air Bersih Susah","Air PDAM tidak mengalir selama tiga hari dan masyarakat kesulitan mendapatkan air bersih","Asli"
"PDAM","Air PDAM mati selama tiga hari dan masyarakat kesulitan mendapatkan air bersih","Asli"
"Pelayanan PDAM","Air PDAM keruh selama tiga hari dan masyarakat kesulitan mendapatkan air bersih","Asli"
"Ketertiban Umum","Di daerah kami banyak kendaraan parkir sembarangan hingga menyebabkan kemacetan","Asli"
"Error Sistem/ Susah membuka sistem","Situs resmi dinas tidak bisa diakses selama beberapa hari, menghambat pelayanan publik","Asli"
"Pemerasan","Ada pungli yang berhubungan dengan pencari tenaga kerja di dinas tenaga kerja","Asli"
"Cari Kerja Susah","Dinas Tenaga Kerja tidak melakukan tugasnya dengan semestinya","Asli"
"Pelayanan Kepada Masyarakat","Pegawai Dinas Tenaga Kerja tidak ramah sama sekali dalam memberikan pelayanannya","Asli"
"Layanan Pencari Kerja","Pelayanan administrasi Dinas Tenaga Kerja tidak ramah sangat menyusahkan para pencari kerja","Asli"
"Layanan Terdapat Pungli","Pengurusan administrasi perdagangan dan industri menengah di Dinas perindustrian dan perdagangan terdapat pungli","Asli"
"Adanya Pungli","Pegawai Dinas Perindustrian dan Perdagangan terindikasi melakukangan pungli kepada masyarakat yang mengurus administrasi usaha","Asli"
"Ketertiban Umum","Banyak pengemis yang meresahkan warga di jalan raya utama kota","Asli"
"Untuk Dinas Sosial","Banyak pengemis yang minta-minta secara paksa di perempatan jalan raya utama kota","Asli"
"Pengaduan Diskriminasi dan Eksploitasi","Banyak anak kecil dieksploitasi menjadi pengemis yang meresahkan warga di jalan raya utama kota","Asli"
"Pengaduan Eksploitasi Anak","Banyak anak kecil yang dipaksa menjadi pengemis di jalan raya utama kota","Asli"
"Pengaduan Adanyan Pungli","Ada indikasi pungli di Dinas Perikanan","Asli"
"Pelayanan","Pegawai administrasi di kelurahan sangat lambat dan tidak ramah kepada masyarakat","Asli"
"Pelayanan","Layanan administrasi di kelurahan sangat buruk dan tidak bersahabat","Asli"
"Pelayanan","Layanan di kecamatan sangat lambat dan pegawainya terkesan tidak peduli","Asli"
"Pelayanan","Pegawai administrasi di kecamatan sangat lambat dan sulit dihubungi","Asli"
"Pengurusan Berkas","Proses pengurusan berkas di kelurahan sangat ribet dan memakan waktu lama","Asli"
"Pengurusan Berkas","Pengurusan dokumen di kelurahan memakan waktu lebih dari seminggu dan sangat rumit","Asli"
"Pungli","Banyak pungli yang terjadi di kantor kecamatan saat mengurus surat-surat penting","Asli"
"Pungli","Saya mengalami pungli saat mengurus dokumen di kantor kelurahan","Asli"
"Air Bersih","Ketersediaan air bersih dari PDAM sangat terbatas dan tidak teratur","Asli"
"PDAM","Air PDAM sering mati tanpa pemberitahuan sebelumnya, sangat mengganggu warga","Asli"
